SMILES,pKa,name,domain
Cc1cccc(C=CC(=O)O)c1,4.44,m-Methylcinnamic acid,in-domain
Cc1ccccc1C=CC(=O)O,4.5,o-Methylcinnamic acid,in-domain
Cc1ccc(C=CC(=O)O)cc1,4.56,p-Methylcinnamic acid,in-domain
O=C(O)CCCc1ccccc1,4.76,4-Phenylbutanoic acid,in-domain
COc1cccc(CC(C)C(=O)O)c1,4.65,2-(m-Anisyl)propanoic acid,in-domain
COc1ccccc1CC(C)C(=O)O,4.8,2-(o-Anisyl)propanoic acid,in-domain
COc1ccc(CC(C)C(=O)O)cc1,4.69,2-(p-Anisyl)propanoic acid,in-domain
NCC(=O)N(C(=O)CN)C(C(=O)O)(C(=O)CN)C(=O)CN,3.1,Tetraglycylglycine,in-domain
O=C(O)c1cccc2cccnc12,1.82,8-Quinolinecarboxylic acid,in-domain
NC(Cc1c[nH]c2ccccc12)C(=O)O,2.46,Tryptophan,in-domain
O=C(O)c1cccc2ccccc12,3.7,1-Naphthoic acid,in-domain
O=C(O)c1ccc2ccccc2c1,4.17,2-Naphthoic acid,in-domain
O=C(O)c1cc2ccccc2cc1O,2.79,3-Hydroxy-2-naphthoic acid,in-domain
O=C(O)c1ccccc1-c1ccccc1,3.46,2-Phenylbenzoic acid,in-domain
O=C(O)C(c1ccccc1)c1ccccc1,3.94,Diphenylacetic acid,in-domain
NC(Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O,2.2,L-Thyroxine,in-domain
O=C(O)CO,3.83,Glycolic acid,in-domain
N#CCC(=O)O,2.45,Cyanoacetic acid,in-domain
C=CC(=O)O,4.25,Acrylic acid,in-domain
CC(Cl)C(=O)O,2.83,2-Chloropropanoic acid,in-domain
O=C(O)CCCl,3.98,3-Chloropropanoic acid,in-domain
CCC(=O)O,4.86,Propanoic acid,in-domain
O=C(O)CCO,4.51,3-Hydroxypropanoic acid,in-domain
CC(=O)C(O)O,3.08,Lactic acid,in-domain
O=C(CO)C(O)O,3.52,Glyceric acid,in-domain
N=C(N)NCC(=O)O,2.82,Glycocyamine,in-domain
NCCC(=O)O,3.55,b-Alanine,in-domain
CC(N)C(=O)O,2.34,L-Alanine,in-domain
CNCC(=O)O,2.21,Methylglycine,in-domain
NC(CS)C(=O)O,1.92,Cysteine,in-domain
NC(C=O)C(O)O,2.19,Serine,in-domain
Oc1ccc(C(O)O)[nH]1,1.85,L-2-Pyrrolidone-5-carboxylic acid,in-domain
O=C1NC(=O)N(C(=O)O)C(=O)C1=O,6.64,Alloxanic acid,in-domain
CC=CC(=O)O,4.34,3-Butenoic acid,in-domain
CC=CC(=O)O,4.69,trans-Crotonic acid,in-domain
CCC(=O)C(=O)O,2.5,2-Oxobutanoic acid,in-domain
CC(=O)CC(=O)O,3.58,Acetoacetic acid,in-domain
CCC(Cl)C(=O)O,2.86,2-Chlorobutanoic acid,in-domain
CC(Cl)CC(=O)O,4.05,3-Chlorobutanoic acid,in-domain
O=C(O)CCCCl,4.52,4-Chlorobutanoic acid,in-domain
N#CCCCC(=O)O,2.42,4-Cyanobutanoic acid,in-domain
CC(=O)NCC(=O)O,3.6689999999999996,N-Acetylglycine,in-domain
NC(=O)CC(N)C(=O)O,2.17,Asparagine,in-domain
NCC(=O)NCC(=O)O,3.139,N-Glycylglycine,in-domain
CC(C)C(=O)O,4.88,2-Methylpropanoic acid,in-domain
CCCC(=O)O,4.83,Butanoic acid,in-domain
CC(O)CC(=O)O,4.7,3-Hydroxybutanoic acid,in-domain
O=C(O)CCCO,4.72,4-Hydroxybutanoic acid,in-domain
CN(CC(=O)O)C(=N)N,2.63,Creatine,in-domain
CCC(N)C(=O)O,2.29,2-Aminobutanoic acid,in-domain
CC(C)(N)C(=O)O,2.36,2-Methylalanine,in-domain
NCCCC(=O)O,4.031000000000001,4-Aminobutanoic acid,in-domain
CN(C)CC(=O)O,2.04,"N,N-Dimethylglycine",in-domain
NC(CCS)C(=O)O,2.22,Homocysteine,in-domain
CC(=O)C(N)C(O)O,,,in-domain
CC(NC(=O)CN)C(=O)O,2.09,Threonine,in-domain
NC(=O)CCC(N)C(=O)O,3.15,Glycylalanine,in-domain
NCC(=O)NC(C=O)C(O)O,2.17,L-Glutamine,in-domain
CCC(C)C(=O)O,2.98,Glycylserine,in-domain
CC(C)CC(=O)O,4.8,2-Methylbutanoic acid,in-domain
